"id","backers","parentCat","duration","goal","raised","faqs","comments","description.length"
749,130,"Art",48.96449074,3000,3252,1,19,2604
750,157,"Food",30,12000,13140,1,26,2825
751,7,"Film & Video",60,500,500.13,0,0,1426
752,80,"Music",30,4000,4386,1,1,1808
753,108,"Fashion",30,1000,2012.25,0,15,2188
754,65,"Photography",32.06787037,5000,5547,0,2,1788
755,319,"Design",30,2250,9786,2,39,2176
756,9,"Art",30.04166667,3500,1285,0,0,1998
757,171,"Music",30.04166667,15000,20606,1,1,8130
758,10,"Publishing",49.16591435,5000,315,0,0,2778
759,4,"Film & Video",30.04166667,15000,680,0,2,5285
760,2,"Film & Video",30.04166667,750,35,0,0,638
761,5,"Music",60.04166667,5000,190,0,0,3438
762,1,"Publishing",30.07270833,5000,25,0,0,2425
763,26,"Publishing",30,350,700,0,0,2763
764,51,"Music",30,2000,2081.09,0,8,4729
765,36,"Film & Video",85.98556713,1000,1455,0,1,2929
766,37,"Film & Video",42,94000,1116,0,1,5069
767,8,"Photography",60.04166667,20000,545,0,0,1411
768,73,"Film & Video",30.04166667,10000,8325,0,0,3672
769,9,"Technology",60.04166667,1000,270,0,0,2549
770,56,"Publishing",28.04166667,1500,2060,3,8,8958
771,4,"Music",30.04166667,1000,53,0,0,1755
772,58,"Film & Video",30.04166667,20000,3835,0,1,2763
773,4278,"Games",36.38489583,20000,951254.4,3,18731,15981
774,2,"Food",42.04166667,28000,60,0,0,1101
775,5,"Theater",44.04166667,2100,440,0,0,2158
776,3,"Publishing",45.04166667,5000,125,0,0,1719
777,4,"Film & Video",27.04166667,57000,290,0,0,1096
778,590,"Music",30.04166667,30000,36205.84,0,44,1907
779,1207,"Music",32.1705787,30000,32856.8,5,25,5590
780,975,"Music",48.04166667,1e+05,83238.83,4,98,3285
781,273,"Technology",28.79138889,23000,28758,4,73,23155
782,182,"Music",35.04166667,20000,9754,0,4,2476
783,141,"Music",42.04166667,3500,4685.85,2,9,1908
784,41,"Music",30.04166667,8000,1587,0,2,5011
785,62,"Music",30.04166667,5999,2537,1,2,951
786,126,"Music",30.04166667,5000,3510.26,0,2,1564
787,203,"Music",60.04166667,20000,14180,0,9,6528
788,17,"Music",30.16006944,9000,920,0,0,2398
789,1,"Music",30.0609375,10000,100,0,0,2687
790,15,"Games",33.04166667,4000,655,1,2,3980
791,46,"Fashion",30,5000,5498,0,0,4889
792,87,"Music",29.95833333,3000,3780,0,4,446
793,3464,"Games",32,12500,72627.9,10,401,5144
794,35,"Film & Video",36,2500,2540,0,0,320
795,52,"Design",30,7500,7908.5,9,9,1871
796,34,"Film & Video",60.04166667,2000,2401,0,3,1969
797,68,"Design",30,25,4478,0,59,3418
798,25,"Publishing",29.95833333,3000,3516,0,0,4728
799,80,"Publishing",30,25000,25279,1,0,3231
